fighter_1,fighter_2,knockdowns_1,knockdowns_2,total_strikes_1,total_strikes_2,significant_strikes_1,significant_strikes_2,head_strikes_1,head_strikes_2,body_strikes_1,body_strikes_2,leg_strikes_1,leg_strikes_2,distance_strikes_1,distance_strikes_2,clinch_strikes_1,clinch_strikes_2,ground_strikes_1,ground_strikes_2,takedowns_1,takedowns_2,submission_attempts_1,submission_attempts_2,reversals_1,reversals_2,control_time_1,control_time_2,result,method,round,time,referee,ufc_stats_com_url
Amanda Lemos,Jessica Andrade,0,0,7 of 17,3 of 9,7 of 17,3 of 9,4 of 12,0 of 3,0 of 2,1 of 1,3 of 3,2 of 5,7 of 17,3 of 9,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0,1,0,0,0:00,0:38,L,Submission,1,3:13,Keith Peterson,http://ufcstats.com/fight-details/3a3ac7b3987f6799
Clay Guida,Claudio Puelles,0,0,4 of 6,11 of 13,3 of 4,1 of 3,1 of 2,1 of 2,0 of 0,0 of 1,2 of 2,0 of 0,2 of 3,0 of 2,0 of 0,0 of 0,1 of 1,1 of 1,0 of 1,0 of 0,0,2,1,0,1:10,0:14,L,Submission,1,3:01,Herb Dean,http://ufcstats.com/fight-details/6017351e164dbca3
Maycee Barber,Montana De La Rosa,0,0,80 of 101,41 of 57,50 of 63,14 of 28,31 of 42,7 of 19,16 of 18,7 of 9,3 of 3,0 of 0,4 of 8,3 of 13,40 of 47,10 of 14,6 of 8,1 of 1,1 of 4,1 of 2,0,0,1,1,7:00,5:55,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/a45d4327bc82bc28
Lando Vannata,Charles Jourdain,0,0,8 of 14,5 of 8,8 of 14,4 of 7,5 of 10,2 of 4,3 of 4,2 of 3,0 of 0,0 of 0,7 of 13,3 of 6,0 of 0,1 of 1,1 of 1,0 of 0,1 of 1,0 of 0,0,1,1,0,0:57,0:19,L,Submission,1,2:32,Keith Peterson,http://ufcstats.com/fight-details/173d576e6247a88a
Jordan Wright,Marc-Andre Barriault,0,0,16 of 17,17 of 21,12 of 13,13 of 17,2 of 3,11 of 15,4 of 4,2 of 2,6 of 6,0 of 0,6 of 7,2 of 5,4 of 4,9 of 10,2 of 2,2 of 2,2 of 4,0 of 0,0,1,0,1,1:32,0:03,L,Submission,1,2:36,Herb Dean,http://ufcstats.com/fight-details/992e84bf59837e21
Dwight Grant,Sergey Khandozhko,1,2,47 of 115,49 of 125,42 of 110,49 of 125,35 of 103,35 of 109,5 of 5,13 of 15,2 of 2,1 of 1,38 of 105,47 of 120,2 of 2,0 of 0,2 of 3,2 of 5,1 of 1,1 of 1,0,0,0,0,0:20,0:48,L,KO/TKO,2,4:15,Chris Tognoni,http://ufcstats.com/fight-details/9b8a82276f06829f
Tyson Pedro,Ike Villanueva,1,0,22 of 29,4 of 22,22 of 29,4 of 22,10 of 17,2 of 20,5 of 5,1 of 1,7 of 7,1 of 1,19 of 25,4 of 21,1 of 1,0 of 1,2 of 3,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,W,KO/TKO,1,4:55,Mark Smith,http://ufcstats.com/fight-details/e8c57c6259193466
Aoriqileng,Cameron Else,1,0,49 of 85,7 of 13,37 of 64,6 of 12,28 of 55,5 of 10,7 of 7,0 of 1,2 of 2,1 of 1,10 of 19,5 of 11,2 of 2,0 of 0,25 of 43,1 of 1,1 of 1,0 of 0,0,0,0,0,1:34,0:13,W,KO/TKO,1,2:48,Keith Peterson,http://ufcstats.com/fight-details/926977ec3ed0ebe1
Preston Parsons,Evan Elder,0,0,121 of 160,34 of 67,75 of 112,27 of 60,60 of 94,12 of 43,9 of 11,11 of 12,6 of 7,4 of 5,33 of 58,26 of 58,7 of 11,1 of 1,35 of 43,0 of 1,4 of 6,0 of 2,5,0,1,2,7:48,1:47,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/e4d946470fd150fe
Marcin Prachnio,Philipe Lins,0,0,116 of 159,96 of 142,74 of 117,64 of 110,13 of 49,36 of 79,44 of 48,20 of 22,17 of 20,8 of 9,47 of 81,52 of 96,26 of 35,9 of 10,1 of 1,3 of 4,0 of 1,4 of 11,0,0,0,0,1:53,5:28,L,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/6a4ba72b084193b5
Dean Barry,Mike Jackson,1,0,39 of 93,18 of 37,36 of 90,18 of 37,25 of 78,13 of 30,10 of 11,1 of 2,1 of 1,4 of 5,26 of 74,18 of 37,8 of 12,0 of 0,2 of 4,0 of 0,0 of 0,0 of 1,0,0,0,0,0:15,0:09,L,DQ,1,3:52,Chris Tognoni,http://ufcstats.com/fight-details/7cf7960c6ccb5fa1
Vicente Luque,Belal Muhammad,0,0,102 of 203,136 of 260,84 of 184,60 of 155,54 of 141,51 of 141,6 of 17,8 of 13,24 of 26,1 of 1,80 of 179,56 of 149,2 of 3,3 of 5,2 of 2,1 of 1,0 of 0,5 of 10,0,0,0,0,0:33,7:29,L,Decision - Unanimous,5,5:00,Herb Dean,http://ufcstats.com/fight-details/6d4b6224f26572f9
Caio Borralho,Gadzhi Omargadzhiev,0,0,63 of 86,61 of 90,31 of 49,12 of 38,23 of 35,6 of 28,4 of 10,5 of 8,4 of 4,1 of 2,11 of 26,8 of 34,1 of 1,2 of 2,19 of 22,2 of 2,1 of 1,1 of 2,0,0,1,0,10:11,0:22,W,Decision - Unanimous,3,3:56,Dan Miragliotta,http://ufcstats.com/fight-details/a0a120c50d93f70a
Miguel Baeza,Andre Fialho,0,1,24 of 58,32 of 56,24 of 58,32 of 56,15 of 48,19 of 41,4 of 4,5 of 7,5 of 6,8 of 8,24 of 58,25 of 49,0 of 0,5 of 5,0 of 0,2 of 2,0 of 0,0 of 0,0,0,0,0,0:00,0:03,L,KO/TKO,1,4:39,Mark Smith,http://ufcstats.com/fight-details/7c5fc3fc7be4a997
Mayra Bueno Silva,Wu Yanan,0,0,88 of 153,75 of 232,87 of 152,62 of 218,49 of 97,37 of 169,18 of 25,16 of 26,20 of 30,9 of 23,80 of 137,54 of 204,3 of 4,3 of 3,4 of 11,5 of 11,0 of 1,1 of 1,2,0,0,0,0:49,2:15,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/2e94ee4b9f5fddea
Pat Sabatini,TJ Laramie,0,0,124 of 162,22 of 39,36 of 63,15 of 31,29 of 55,9 of 23,5 of 6,2 of 3,2 of 2,4 of 5,13 of 24,12 of 24,1 of 2,0 of 1,22 of 37,3 of 6,6 of 10,1 of 4,0,0,0,1,7:59,4:07,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/4f6e7159e77d4215
Mounir Lazzez,Ange Loosa,0,0,141 of 260,91 of 216,141 of 260,88 of 213,98 of 208,34 of 141,23 of 31,14 of 24,20 of 21,40 of 48,138 of 255,88 of 213,3 of 5,0 of 0,0 of 0,0 of 0,0 of 2,0 of 2,0,0,0,0,1:02,0:08,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/559031e51ced0b53
Devin Clark,William Knight,1,0,125 of 140,39 of 59,34 of 47,21 of 41,19 of 30,11 of 29,5 of 6,3 of 3,10 of 11,7 of 9,25 of 37,16 of 35,4 of 5,5 of 6,5 of 5,0 of 0,2 of 5,1 of 1,0,2,0,0,5:46,2:09,W,KO/TKO,3,3:21,Dan Miragliotta,http://ufcstats.com/fight-details/b09f8cd4cbd7ba56
Lina Lansberg,Pannie Kianzad,1,0,64 of 113,109 of 210,39 of 88,78 of 160,30 of 75,59 of 140,8 of 11,16 of 17,1 of 2,3 of 3,31 of 78,59 of 137,8 of 10,19 of 23,0 of 0,0 of 0,0 of 3,1 of 1,0,0,0,0,2:23,4:31,L,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/c20e6697335c3b3d
Drakkar Klose,Brandon Jenkins,2,0,77 of 109,28 of 48,76 of 108,18 of 38,55 of 87,4 of 23,16 of 16,3 of 4,5 of 5,11 of 11,27 of 42,14 of 34,38 of 46,4 of 4,11 of 20,0 of 0,2 of 3,0 of 0,0,0,0,0,1:55,0:10,W,KO/TKO,2,0:33,Herb Dean,http://ufcstats.com/fight-details/74c58b9d638c5eaa
Rafa Garcia,Jesse Ronson,0,0,73 of 126,28 of 64,35 of 80,25 of 61,31 of 76,13 of 48,3 of 3,6 of 7,1 of 1,6 of 6,26 of 70,25 of 60,1 of 1,0 of 1,8 of 9,0 of 0,3 of 4,0 of 1,1,0,0,0,4:37,0:02,W,Submission,2,4:50,Mark Smith,http://ufcstats.com/fight-details/0987b3f785e26d1c
Chris Barnett,Martin Buday,0,1,44 of 73,131 of 172,23 of 52,56 of 83,12 of 38,30 of 56,6 of 8,25 of 26,5 of 6,1 of 1,16 of 43,23 of 44,7 of 9,29 of 32,0 of 0,4 of 7,0 of 0,0 of 0,0,0,0,0,0:17,7:44,L,Decision - Unanimous,3,1:38,Dan Miragliotta,http://ufcstats.com/fight-details/1ceab8fa45996f51
Jordan Leavitt,Trey Ogden,0,0,124 of 170,130 of 182,69 of 105,41 of 90,6 of 21,10 of 46,11 of 25,23 of 29,52 of 59,8 of 15,69 of 102,38 of 87,0 of 2,1 of 1,0 of 1,2 of 2,0 of 3,1 of 4,0,2,0,1,5:17,2:02,W,Decision - Split,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/eac46cfead228e11
Istela Nunes,Sam Hughes,0,0,90 of 229,151 of 257,89 of 228,76 of 182,52 of 173,67 of 167,26 of 44,9 of 15,11 of 11,0 of 0,83 of 220,59 of 156,5 of 6,4 of 7,1 of 2,13 of 19,0 of 0,2 of 5,0,0,0,0,0:00,3:26,L,Decision - Majority,3,5:00,Mark Smith,http://ufcstats.com/fight-details/0daf776bd222daad
Alatengheili,Kevin Croom,1,0,9 of 17,2 of 12,9 of 17,2 of 12,9 of 16,0 of 5,0 of 1,1 of 6,0 of 0,1 of 1,8 of 15,2 of 12,0 of 0,0 of 0,1 of 2,0 of 0,0 of 0,0 of 0,0,0,0,0,0:01,0:00,W,KO/TKO,1,0:47,Chris Tognoni,http://ufcstats.com/fight-details/fb7ebdda8658fa05
Alexander Volkanovski,Chan Sung Jung,1,0,152 of 228,51 of 128,138 of 213,48 of 125,102 of 171,31 of 103,10 of 13,9 of 11,26 of 29,8 of 11,116 of 185,44 of 121,10 of 12,4 of 4,12 of 16,0 of 0,4 of 8,0 of 0,0,0,0,0,2:52,0:00,W,KO/TKO,4,0:45,Herb Dean,http://ufcstats.com/fight-details/dc0ab34f1952cb48
Aljamain Sterling,Petr Yan,0,0,91 of 143,139 of 186,62 of 110,63 of 103,29 of 66,32 of 71,26 of 35,17 of 18,7 of 9,14 of 14,42 of 84,46 of 80,5 of 7,8 of 11,15 of 19,9 of 12,2 of 22,0 of 0,0,0,0,0,8:31,5:52,W,Decision - Split,5,5:00,Keith Peterson,http://ufcstats.com/fight-details/9a8964b148cb5923
Gilbert Burns,Khamzat Chimaev,0,1,141 of 223,124 of 239,119 of 200,108 of 223,89 of 166,84 of 191,22 of 24,14 of 22,8 of 10,10 of 10,99 of 178,87 of 191,9 of 10,11 of 13,11 of 12,10 of 19,0 of 5,2 of 3,0,0,0,0,0:06,2:23,L,Decision - Unanimous,3,5:00,Mike Beltran,http://ufcstats.com/fight-details/394b0347b0438622
Mackenzie Dern,Tecia Torres,0,0,58 of 164,78 of 126,50 of 156,76 of 124,42 of 147,19 of 61,6 of 7,25 of 30,2 of 2,32 of 33,46 of 152,75 of 122,3 of 3,0 of 0,1 of 1,1 of 2,0 of 5,0 of 2,3,0,0,0,2:24,2:54,W,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/d8945e21a63e2451
Vinc Pichel,Mark Madsen,0,0,88 of 144,57 of 110,68 of 123,39 of 87,32 of 78,27 of 75,21 of 30,1 of 1,15 of 15,11 of 11,53 of 106,32 of 78,10 of 11,3 of 5,5 of 6,4 of 4,1 of 2,3 of 3,0,0,0,0,0:48,5:10,L,Decision - Unanimous,3,5:00,Larry Folsom,http://ufcstats.com/fight-details/15311d4b33d93004
Ian Garry,Darian Weeks,0,0,80 of 151,60 of 99,74 of 144,40 of 77,47 of 113,17 of 47,12 of 16,8 of 12,15 of 15,15 of 18,69 of 136,33 of 66,5 of 8,7 of 11,0 of 0,0 of 0,0 of 0,1 of 3,0,0,0,0,0:39,2:52,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/313b85fe82b2ba80
Anthony Hernandez,Josh Fremd,0,0,91 of 124,43 of 67,48 of 71,31 of 54,39 of 62,16 of 37,8 of 8,13 of 15,1 of 1,2 of 2,9 of 25,15 of 35,5 of 9,12 of 14,34 of 37,4 of 5,8 of 11,1 of 1,3,1,0,1,10:45,2:37,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/7c6ed5b3d830d0cb
Aspen Ladd,Raquel Pennington,0,0,102 of 199,136 of 218,65 of 160,114 of 195,37 of 118,57 of 133,21 of 34,47 of 52,7 of 8,10 of 10,52 of 145,89 of 166,13 of 15,25 of 29,0 of 0,0 of 0,2 of 4,0 of 1,0,0,0,0,2:56,1:42,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/88c6e7f71b79fd65
Mickey Gall,Mike Malott,0,1,14 of 31,29 of 45,13 of 30,28 of 44,13 of 29,21 of 37,0 of 1,5 of 5,0 of 0,2 of 2,12 of 29,21 of 37,1 of 1,1 of 1,0 of 0,6 of 6,1 of 1,0 of 0,0,0,0,0,0:17,0:05,L,KO/TKO,1,3:41,Larry Folsom,http://ufcstats.com/fight-details/7458a37feabf8788
Aleksei Oleinik,Jared Vanderaa,0,0,8 of 22,23 of 49,8 of 22,15 of 40,3 of 16,13 of 37,2 of 3,2 of 3,3 of 3,0 of 0,8 of 22,7 of 30,0 of 0,1 of 1,0 of 0,7 of 9,0 of 0,0 of 0,1,0,1,0,0:44,0:54,W,Submission,1,3:39,Mike Beltran,http://ufcstats.com/fight-details/278b965694e563b2
Piera Rodriguez,Kay Hansen,0,0,77 of 124,54 of 106,50 of 88,31 of 77,26 of 60,22 of 61,18 of 21,7 of 13,6 of 7,2 of 3,34 of 70,25 of 66,10 of 12,5 of 10,6 of 6,1 of 1,3 of 4,2 of 8,0,0,0,0,5:13,3:14,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/9e52a67410f2c879
Julio Arce,Daniel Santos,0,0,127 of 265,49 of 229,127 of 265,49 of 229,100 of 228,27 of 197,25 of 35,15 of 24,2 of 2,7 of 8,125 of 262,46 of 225,2 of 3,3 of 4,0 of 0,0 of 0,0 of 1,0 of 2,0,0,0,0,0:18,0:46,W,Decision - Unanimous,3,5:00,Larry Folsom,http://ufcstats.com/fight-details/313c36ce9bde6cf6
Curtis Blaydes,Chris Daukaus,1,0,30 of 63,13 of 38,30 of 63,13 of 38,23 of 55,12 of 36,1 of 2,1 of 2,6 of 6,0 of 0,24 of 54,13 of 38,0 of 0,0 of 0,6 of 9,0 of 0,0 of 0,0 of 0,0,0,0,0,0:03,0:00,W,KO/TKO,2,0:17,Herb Dean,http://ufcstats.com/fight-details/c4e866d9dd606faa
Joanne Wood,Alexa Grasso,0,0,61 of 76,50 of 65,34 of 49,16 of 28,22 of 33,13 of 25,4 of 6,0 of 0,8 of 10,3 of 3,32 of 44,13 of 24,0 of 3,2 of 3,2 of 2,1 of 1,0 of 0,2 of 2,0,1,0,0,0:00,2:15,L,Submission,1,3:57,Gary Copeland,http://ufcstats.com/fight-details/1b650c76387c0f4b
Matt Brown,Bryan Barberena,0,0,95 of 145,186 of 289,81 of 129,111 of 211,36 of 75,82 of 170,38 of 44,12 of 18,7 of 10,17 of 23,51 of 95,78 of 164,24 of 28,28 of 42,6 of 6,5 of 5,5 of 7,0 of 0,0,0,0,1,5:01,0:57,L,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/f3c37e23ca30c87d
Askar Askarov,Kai Kara-France,0,0,37 of 76,64 of 145,27 of 60,51 of 130,25 of 55,26 of 96,1 of 4,10 of 18,1 of 1,15 of 16,24 of 57,46 of 125,3 of 3,3 of 3,0 of 0,2 of 2,2 of 14,0 of 1,2,0,0,0,5:14,0:00,L,Decision - Unanimous,3,5:00,Chad Trukovich,http://ufcstats.com/fight-details/410e65e4d1782bfc
Neil Magny,Max Griffin,0,1,104 of 204,75 of 132,54 of 144,67 of 123,42 of 126,34 of 87,10 of 13,11 of 13,2 of 5,22 of 23,42 of 130,63 of 113,12 of 14,2 of 6,0 of 0,2 of 4,1 of 9,0 of 2,0,0,0,0,4:33,0:39,W,Decision - Split,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/3f92025b29e06bfd
Marc Diakiese,Viacheslav Borshchev,0,0,40 of 50,32 of 44,17 of 20,12 of 21,6 of 8,6 of 15,0 of 0,3 of 3,11 of 12,3 of 3,4 of 6,6 of 12,5 of 5,3 of 6,8 of 9,3 of 3,11 of 18,0 of 0,0,0,0,0,12:24,0:35,W,Decision - Unanimous,3,5:00,Gary Copeland,http://ufcstats.com/fight-details/f6afaf2a39fa441c
Sara McMann,Karol Rosa,0,0,73 of 100,92 of 120,24 of 41,26 of 43,15 of 28,20 of 36,6 of 8,4 of 4,3 of 5,2 of 3,7 of 21,13 of 25,7 of 8,7 of 7,10 of 12,6 of 11,4 of 6,1 of 2,0,0,0,1,10:27,1:56,W,Decision - Unanimous,3,5:00,Chad Trukovich,http://ufcstats.com/fight-details/bb31c77bddd1317e
Chris Gutierrez,Batgerel Danaa,1,0,42 of 81,43 of 119,41 of 79,30 of 104,20 of 53,20 of 88,3 of 5,6 of 11,18 of 21,4 of 5,37 of 74,24 of 95,0 of 0,1 of 1,4 of 5,5 of 8,0 of 0,1 of 1,0,0,0,0,0:13,0:24,W,KO/TKO,2,2:34,Herb Dean,http://ufcstats.com/fight-details/d0b7a79d3e7f3362
Aliaskhab Khizriev,Denis Tiuliulin,0,0,54 of 79,43 of 94,42 of 67,31 of 82,31 of 53,28 of 78,8 of 10,3 of 4,3 of 4,0 of 0,33 of 56,30 of 80,1 of 3,1 of 2,8 of 8,0 of 0,2 of 3,0 of 1,1,0,0,0,2:46,0:02,W,Submission,2,1:58,Gary Copeland,http://ufcstats.com/fight-details/6ed495c177d69a3a
Jennifer Maia,Manon Fiorot,0,0,56 of 141,101 of 157,37 of 121,83 of 138,23 of 103,40 of 91,9 of 13,24 of 28,5 of 5,19 of 19,30 of 111,76 of 131,6 of 9,2 of 2,1 of 1,5 of 5,1 of 4,2 of 4,0,0,0,0,1:16,2:37,L,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/3ecccdab76baa59c
Matheus Nicolau,David Dvorak,1,0,46 of 94,60 of 134,36 of 81,39 of 110,21 of 62,25 of 87,10 of 13,6 of 13,5 of 6,8 of 10,33 of 77,33 of 99,1 of 1,4 of 7,2 of 3,2 of 4,0 of 2,0 of 2,0,0,0,0,0:48,1:25,W,Decision - Unanimous,3,5:00,Chad Trukovich,http://ufcstats.com/fight-details/82b2b97b85c7225c
Luis Saldana,Bruno Souza,0,0,88 of 173,68 of 180,84 of 168,66 of 178,41 of 109,37 of 134,14 of 22,17 of 30,29 of 37,12 of 14,78 of 161,64 of 174,3 of 4,2 of 4,3 of 3,0 of 0,2 of 5,1 of 2,0,0,0,0,1:36,0:12,W,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/97e522591ac7eb29
Alexander Volkov,Tom Aspinall,0,0,13 of 23,35 of 50,13 of 23,29 of 43,6 of 16,16 of 30,5 of 5,5 of 5,2 of 2,8 of 8,13 of 22,16 of 26,0 of 0,1 of 1,0 of 1,12 of 16,0 of 0,2 of 2,0,1,0,0,0:00,1:54,L,Submission,1,3:45,Marc Goddard,http://ufcstats.com/fight-details/06641a8c62e45661
Arnold Allen,Dan Hooker,0,0,50 of 85,14 of 49,49 of 84,14 of 49,43 of 78,11 of 44,0 of 0,0 of 2,6 of 6,3 of 3,46 of 75,14 of 49,3 of 9,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:02,0:00,W,KO/TKO,1,2:33,Daniel Movahedi,http://ufcstats.com/fight-details/ce3d94186567a684
Paddy Pimblett,Kazula Vargas,0,0,5 of 8,16 of 21,3 of 6,7 of 9,1 of 4,5 of 7,0 of 0,2 of 2,2 of 2,0 of 0,2 of 4,2 of 4,0 of 1,2 of 2,1 of 1,3 of 3,1 of 2,0 of 0,1,0,0,0,0:53,2:43,W,Submission,1,3:49,Lukasz Bosacki,http://ufcstats.com/fight-details/001441f70c293931
Gunnar Nelson,Takashi Sato,0,0,140 of 166,16 of 34,44 of 55,9 of 23,36 of 47,4 of 16,7 of 7,2 of 4,1 of 1,3 of 3,10 of 20,9 of 23,1 of 2,0 of 0,33 of 33,0 of 0,3 of 3,0 of 0,1,0,0,0,8:09,0:00,W,Decision - Unanimous,3,5:00,Rich Mitchell,http://ufcstats.com/fight-details/bcd1e1d71a172d53
Molly McCann,Luana Carolina,1,0,99 of 174,76 of 144,85 of 159,64 of 132,52 of 118,26 of 88,28 of 36,33 of 39,5 of 5,5 of 5,69 of 139,47 of 113,14 of 18,17 of 19,2 of 2,0 of 0,2 of 2,0 of 0,0,0,0,0,4:30,0:27,W,KO/TKO,3,1:52,Daniel Movahedi,http://ufcstats.com/fight-details/5a878a6bebc973d7
Jai Herbert,Ilia Topuria,1,1,50 of 94,31 of 55,22 of 63,20 of 41,20 of 60,17 of 37,1 of 2,3 of 4,1 of 1,0 of 0,19 of 59,14 of 35,1 of 1,2 of 2,2 of 3,4 of 4,0 of 0,1 of 4,0,0,0,0,0:07,2:41,L,KO/TKO,2,1:07,Marc Goddard,http://ufcstats.com/fight-details/a200b5dcbdd2506e
Mike Grundy,Makwan Amirkhani,0,0,0 of 3,0 of 1,0 of 3,0 of 1,0 of 2,0 of 1,0 of 1,0 of 0,0 of 0,0 of 0,0 of 3,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0,1,0,0,0:31,0:15,L,Submission,1,0:57,Rich Mitchell,http://ufcstats.com/fight-details/6e705b2365bc03fa
Shamil Abdurakhimov,Sergei Pavlovich,0,1,17 of 34,22 of 48,17 of 34,21 of 47,4 of 16,21 of 46,4 of 5,0 of 1,9 of 13,0 of 0,17 of 34,6 of 22,0 of 0,4 of 8,0 of 0,11 of 17,0 of 1,0 of 0,0,0,0,0,0:00,0:12,L,KO/TKO,1,4:03,Daniel Movahedi,http://ufcstats.com/fight-details/ae989e21c3839b49
Nikita Krylov,Paul Craig,0,0,30 of 39,11 of 12,19 of 25,2 of 3,18 of 24,2 of 3,1 of 1,0 of 0,0 of 0,0 of 0,3 of 3,0 of 0,0 of 0,0 of 0,16 of 22,2 of 3,1 of 1,1 of 1,0,1,0,0,3:49,0:02,L,Submission,1,3:57,Lukasz Bosacki,http://ufcstats.com/fight-details/766b4f5e77ab0860
Jack Shore,Timur Valiev,2,0,87 of 128,75 of 155,70 of 107,72 of 150,46 of 81,23 of 83,15 of 17,26 of 40,9 of 9,23 of 27,54 of 89,67 of 144,5 of 7,5 of 6,11 of 11,0 of 0,3 of 7,2 of 3,0,1,0,0,4:42,2:03,W,Decision - Unanimous,3,5:00,Marc Goddard,http://ufcstats.com/fight-details/53d0df57a917c6a0
Cory McKenna,Elise Reed,0,0,99 of 216,121 of 193,60 of 160,76 of 140,53 of 150,44 of 98,3 of 4,7 of 10,4 of 6,25 of 32,48 of 146,70 of 131,5 of 6,3 of 5,7 of 8,3 of 4,3 of 7,0 of 0,0,0,0,0,3:46,0:22,L,Decision - Split,3,5:00,Rich Mitchell,http://ufcstats.com/fight-details/5e378c52f26935d6
Muhammad Mokaev,Cody Durden,1,0,2 of 5,1 of 5,2 of 5,1 of 5,1 of 3,0 of 2,1 of 2,1 of 1,0 of 0,0 of 2,2 of 4,1 of 5,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0,1 of 1,1,0,0,0,0:11,0:00,W,Submission,1,0:58,Daniel Movahedi,http://ufcstats.com/fight-details/4c7e55061dc3bf89
Thiago Santos,Magomed Ankalaev,1,0,81 of 160,114 of 191,60 of 138,78 of 155,14 of 75,33 of 94,16 of 26,35 of 51,30 of 37,10 of 10,57 of 135,64 of 140,1 of 1,12 of 13,2 of 2,2 of 2,0 of 0,1 of 2,0,0,0,0,0:17,3:35,L,Decision - Unanimous,5,5:00,Mark Smith,http://ufcstats.com/fight-details/8aa16cc1ba99aac1
Marlon Moraes,Song Yadong,0,1,9 of 25,14 of 35,9 of 25,14 of 35,9 of 25,10 of 29,0 of 0,3 of 5,0 of 0,1 of 1,9 of 25,14 of 35,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0,0,0:00,0:00,L,KO/TKO,1,2:06,Keith Peterson,http://ufcstats.com/fight-details/9b46a662b8fa1d8d
Sodiq Yusuff,Alex Caceres,0,0,74 of 133,71 of 143,64 of 123,66 of 138,18 of 70,43 of 107,12 of 16,14 of 20,34 of 37,9 of 11,59 of 117,64 of 133,5 of 6,2 of 5,0 of 0,0 of 0,1 of 3,1 of 3,0,0,0,0,2:42,0:21,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/70b8d357e89383bd
Khalil Rountree Jr.,Karl Roberson,2,0,26 of 69,17 of 28,26 of 69,17 of 28,16 of 53,4 of 10,5 of 9,6 of 9,5 of 7,7 of 9,17 of 55,16 of 27,5 of 7,1 of 1,4 of 7,0 of 0,0 of 1,0 of 0,0,0,0,0,0:15,0:00,W,KO/TKO,2,0:25,Herb Dean,http://ufcstats.com/fight-details/23eec2d9cb2d78cd
Drew Dober,Terrance McKinney,1,1,31 of 52,43 of 74,17 of 37,36 of 61,14 of 34,33 of 57,2 of 2,3 of 4,1 of 1,0 of 0,6 of 19,15 of 32,2 of 2,5 of 5,9 of 16,16 of 24,0 of 1,2 of 3,0,0,0,0,0:24,1:33,W,KO/TKO,1,3:17,Keith Peterson,http://ufcstats.com/fight-details/463fac0e48505b62
Alex Pereira,Bruno Silva,0,0,165 of 239,72 of 160,108 of 179,59 of 147,60 of 120,39 of 119,41 of 50,8 of 16,7 of 9,12 of 12,86 of 151,52 of 134,22 of 27,7 of 13,0 of 1,0 of 0,0 of 0,2 of 8,0,0,0,0,1:17,3:15,W,Decision - Unanimous,3,5:00,Mark Smith,http://ufcstats.com/fight-details/226884e46a10865d
Matthew Semelsberger,AJ Fletcher,0,0,54 of 97,87 of 124,40 of 82,34 of 64,32 of 67,21 of 49,6 of 12,2 of 4,2 of 3,11 of 11,21 of 51,30 of 58,2 of 3,0 of 1,17 of 28,4 of 5,1 of 1,4 of 6,0,2,0,2,4:55,5:42,W,Decision - Unanimous,3,5:00,Herb Dean,http://ufcstats.com/fight-details/3b06c512abfa0494
JJ Aldrich,Gillian Robertson,0,0,76 of 137,67 of 154,60 of 118,52 of 139,56 of 114,17 of 81,3 of 3,18 of 36,1 of 1,17 of 22,49 of 105,45 of 131,9 of 11,7 of 8,2 of 2,0 of 0,0 of 1,1 of 6,0,0,1,0,3:07,0:24,W,Decision - Unanimous,3,5:00,Chris Tognoni,http://ufcstats.com/fight-details/26fbee4ed13ff35d
Trevin Jones,Javid Basharat,0,0,62 of 178,89 of 164,62 of 178,89 of 164,33 of 142,52 of 119,16 of 23,21 of 28,13 of 13,16 of 17,61 of 177,79 of 154,1 of 1,10 of 10,0 of 0,0 of 0,0 of 3,0 of 0,0,0,0,0,0:03,0:00,L,Decision - Unanimous,3,5:00,Keith Peterson,http://ufcstats.com/fight-details/b70313eae7c24b27
